,device_name,users_count,percent_users,actions_device_count,percent_actions,top_browsers,count_code_not_200,count_code
0,Acer,10,0.003708909914287092,260,0.0025084050865824253,"{'Chrome': 223, 'Android': 33, 'Chrome Mobile WebView': 3, 'Google': 1}",8,"{302: 7, 404: 1}"
1,Alcatel,52,0.019286331554292876,975,0.009406519074684096,"{'Android': 568, 'Chrome Mobile': 279, 'Chrome': 126, 'Google': 2}",114,"{404: 62, 302: 33, 499: 8, 403: 5, 500: 3, 304: 3}"
2,Amazon,3,0.0011126729742861276,4,3.859084748588347e-05,{'Amazon Silk': 4},1,{301: 1}
3,Apple,24981,9.265227856880584,742618,7.164564494567953,"{'Mobile Safari': 441761, 'Chrome Mobile iOS': 73520, 'MobileSafari': 69822, 'Google': 43072, 'Safari': 38556}",99326,"{404: 69205, 302: 20520, 499: 3850, 301: 2879, 304: 2366, 403: 355, 500: 92, 502: 34, 401: 16, 408: 8, 400: 1}"
4,Archos,5,0.001854454957143546,66,0.0006367489835170772,{'Android': 66},6,"{404: 5, 302: 1}"
5,Asus,1698,0.6297729034459483,29717,0.2867010536844997,"{'Chrome Mobile': 20691, 'Chrome': 3319, 'Chrome Mobile WebView': 3134, 'Android': 2204, 'LINE': 148}",1027,"{302: 527, 304: 180, 499: 137, 404: 86, 403: 76, 301: 20, 502: 1}"
6,BlackBerry,29,0.010755838751432567,545,0.005258002969951623,{'BlackBerry WebKit': 545},68,"{304: 35, 404: 21, 302: 6, 301: 3, 499: 3}"
7,Chrome OS,6,0.002225345948572255,347,0.003347756019400391,{'Chrome': 347},1,{301: 1}
8,Cubot,1,0.0003708909914287092,80,0.0007718169497176693,{'Chrome Mobile': 80},3,"{302: 2, 499: 1}"
9,Fedora,6,0.002225345948572255,1551,0.014963601112651315,"{'Firefox': 1293, 'Chrome': 258}",18,"{302: 8, 499: 8, 301: 2}"
10,Fly,13,0.004821582888573219,163,0.0015725770350497512,"{'Chrome Mobile': 117, 'Android': 35, 'Chrome Mobile WebView': 11}",4,"{499: 2, 302: 1, 404: 1}"
11,Generic,4153,1.5403102874034293,164894,1.590849801334317,"{'Firefox Mobile': 162622, 'Chrome Mobile': 1103, 'Chrome Mobile WebView': 414, 'Android': 291, 'Opera Mobile': 242}",7647,"{304: 3448, 302: 2767, 499: 1112, 301: 113, 403: 112, 404: 81, 500: 9, 502: 4, 400: 1}"
12,Generic_Android,7493,2.779086198775318,140895,1.3593143641308878,"{'Chrome Mobile': 114181, 'Chrome Mobile WebView': 15969, 'Android': 9311, 'Opera Mobile': 516, 'UC Browser': 286}",3979,"{302: 1970, 499: 830, 304: 609, 404: 309, 403: 158, 301: 93, 502: 8, 408: 2}"
